FL_time_min,FL_time_max,UVFL_time_min,UVFL_time_max,UVFL_L_min,UVFL_L_max,UVFL_H_min,UVFL_H_max,UVFL_S_min,UVFL_S_max,Phos_color_min,Phos_color_max,UVFL2_time_min,UVFL2_time_max,UVFL2_L_min,UVFL2_L_max,UVFL2_H_min,UVFL2_H_max,UVFL2_S_min,UVFL2_S_max,excluded output,UVFL_color,Output,Call,Note
0,1000,0,1000,5,101,0,75,0,101,0,10,0,1000,0,101,0,360,0,101,999,4,4,CVD,
0,1000,0,1000,5,101,290,360,0,101,0,10,0,1000,0,101,0,360,0,101,999,4,4,CVD,
0,1000,0,1000,5,101,75,160,15,30,0,10,0,1000,0,101,0,360,0,101,999,4,4,CVD,
0,1000,0,1000,5,101,240,360,0,30,0,10,0,1000,0,101,0,360,0,101,999,4,4,CVD,
0,1000,0,1000,5,101,220,230,15,30,0,10,0,1000,5,101,0,90,45,101,999,4,4,CVD,
0,1000,0,1000,5,101,160,175,0,15,1,10,0,1000,0,101,50,60,30,101,999,1,6,Natural,"Yellow FL natural, added 03032020 prototype3"
0,1000,0,1000,5,101,75,185,0,101,1,10,0,1000,0,101,0,360,0,101,999,4,4,CVD,
50,1000,0,1000,5,101,90,235,10,40,0,10,0,1000,0,101,0,140,40,101,999,4,4,CVD,Added 02/27 prototype3
200,1000,0,1000,5,101,0,190,15,30,0,10,0,1000,0,101,0,360,0,101,999,2,2,Refer,
200,1000,0,1000,5,101,290,360,15,30,0,10,0,1000,0,101,0,360,0,101,999,2,2,Refer,
200,1000,0,1000,3,101,200,216,34,53,0,1,500,1000,25,101,205,218,32,101,999,5,5,CZ,
200,1000,0,1000,3,101,206,209,53,59,0,1,500,1000,25,101,205,218,32,101,999,5,5,CZ,
200,1000,0,1000,3,101,200,216,34,53,0,1,0,500,0,101,205,218,32,101,999,5,5,CZ,
200,1000,201,1000,3,101,206,209,53,59,0,1,0,500,0,101,205,218,32,101,999,5,5,CZ,
50,1000,200,1000,3,101,188,200,30,85,0,1,500,1000,0,101,0,180,0,30,1,1,6,Natural,
50,1000,200,1000,3,101,200,216,40,85,0,1,500,1000,0,101,0,195,0,30,1,1,6,Natural,
50,1000,200,1000,3,101,216,225,40,85,0,1,500,1000,0,101,0,195,0,30,1,1,6,Natural,
50,1000,200,1000,3,101,188,200,30,85,0,1,500,1000,0,101,220,360,0,30,1,1,6,Natural,
50,1000,200,1000,3,101,200,216,40,85,0,1,500,1000,0,101,220,360,0,30,1,1,6,Natural,
50,1000,200,1000,3,101,216,225,40,85,0,1,500,1000,0,101,220,360,0,30,1,1,6,Natural,